datetime,atr
2021-01-22,3.9628
2021-01-25,4.1080
2021-01-26,3.9714
2021-01-27,4.4873
2021-01-28,4.6772
2021-01-29,4.9784
2021-02-01,5.1162
2021-02-02,5.2252
2021-02-03,5.0705
2021-02-04,5.0063
2021-02-05,4.8066
2021-02-08,4.6567
2021-02-09,4.4408
2021-02-10,4.4481
2021-02-11,4.3740
2021-02-12,4.2740
2021-02-16,4.1479
2021-02-17,4.0777
2021-02-18,4.1020
2021-02-19,4.0011
2021-02-22,3.9386
2021-02-23,4.2508
2021-02-24,4.4196
2021-02-25,4.8574
2021-02-26,5.0093
2021-03-01,5.3683
2021-03-02,5.2611
2021-03-03,5.2599
2021-03-04,5.7069
2021-03-05,6.1219
2021-03-08,6.1095
2021-03-09,6.2290
2021-03-10,6.0712
2021-03-11,6.0495
2021-03-12,5.8217
2021-03-15,5.7218
2021-03-16,5.4998
2021-03-17,5.4341
2021-03-18,5.4878
2021-03-19,5.3967
2021-03-22,5.3238
2021-03-23,5.2704
2021-03-24,5.2535
2021-03-25,5.3311
2021-03-26,5.4072
2021-03-29,5.2893
2021-03-30,5.0994
2021-03-31,4.9579
2021-04-01,4.8993
2021-04-05,4.9804
2021-04-06,4.7499
2021-04-07,4.5135
2021-04-08,4.3266
2021-04-09,4.2498
2021-04-12,4.0640
2021-04-13,3.9378
2021-04-14,3.8669
2021-04-15,3.9115
2021-04-16,3.7805
2021-04-19,3.7468
2021-04-20,3.7938
2021-04-21,3.8585
2021-04-22,3.9676
2021-04-23,4.0915
2021-04-26,3.9000
2021-04-27,3.7467
2021-04-28,3.6228
2021-04-29,3.6555
2021-04-30,3.6477
2021-05-03,3.5601
2021-05-04,3.7505
2021-05-05,3.6515
2021-05-06,3.7676
2021-05-07,3.7535
2021-05-10,3.8211
2021-05-11,4.0848
2021-05-12,4.4883
2021-05-13,4.6403
2021-05-14,4.7998
2021-05-17,4.6762
2021-05-18,4.6343
2021-05-19,4.7534
2021-05-20,4.8065
2021-05-21,4.7185
2021-05-24,4.7478
2021-05-25,4.6191
2021-05-26,4.4152
2021-05-27,4.2179
2021-05-28,4.0501
2021-06-01,4.0005
2021-06-02,3.8469
2021-06-03,3.8479
2021-06-04,3.8557
2021-06-07,3.6885
2021-06-08,3.6219
2021-06-09,3.4891
2021-06-10,3.4497
2021-06-11,3.3129
2021-06-14,3.2308
2021-06-15,3.1308
2021-06-16,3.2443
2021-06-17,3.2645
2021-06-18,3.4327
2021-06-21,3.6070
2021-06-22,3.6172
2021-06-23,3.4641
2021-06-24,3.4182
2021-06-25,3.3103
2021-06-28,3.1941
2021-06-29,3.0636
2021-06-30,2.9541
2021-07-01,2.9166
2021-07-02,2.9591
2021-07-06,3.0210
2021-07-07,3.0273
2021-07-08,3.2852
2021-07-09,3.4007
2021-07-12,3.3204
2021-07-13,3.2561
2021-07-14,3.2292
